;ABW;AFG;AGO;AIA;ALB;AND;ANT;ARB;ARE;ARG;ARM;ASM;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BFA;BGD;BGR;BHR;BHS;BIH
ABW;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02638379440450371;0.0;0.0;0.0;0.0;0.02671248813092353;0.0;0.0;0.011550176176783165;0.0;0.0;0.0;0.04144889542802304;0.0;0.0;0.0
AFG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07459262383979655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AGO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011625218393826384;0.0;0.0;0.0;0.012577085682875137;0.008609433038517461;0.019689492830161213;0.0;0.0032595569196920814;0.013204646147983138;0.0;0.0;0.012903474689727553;0.0;0.0;0.0
AIA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014193198232681895;0.0;0.0;0.0;0.018484437322155205;0.006394210909822392;0.0;0.0;0.0079547985697529;0.0;0.0;0.0;0.005969293181559074;0.0;0.0;0.0072734210032743005
AND;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARG;0.014139715241337614;0.0;0.011822637665025853;0.0;0.009925472778602439;0.0;0.0;0.0;0.0;0.0;0.016352394228860662;0.0;0.0;0.005160113676173503;0.0060044399032461995;0.010790056294271355;0.0;0.0033099833658827823;0.012724604094326672;0.0;0.0;0.0069269729641586505;0.010903138144176393;0.004839635381670943;0.008557782552285358
ARM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022887554472465953;0.0;0.0;0.0;0.014798160249128165;0.00961970037729126;0.0;0.0;0.005461182530554816;0.0;0.0;0.0;0.00796650580513585;0.0;0.0;0.0
ASM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ATG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AUS;0.0;0.011760405734358296;0.012156688470867054;0.0;0.012285679388840445;0.0;0.0;0.0;0.0;0.00490434798546651;0.010048741917176293;0.0;0.0;0.0;0.004291691566765088;0.008759821495862893;0.014826986992751933;0.002734851918913177;0.0;0.014371282695838412;0.0;0.006307816997312748;0.003642389336749975;0.005936783303574531;0.00856702198963286
AUT;0.015113627726251836;0.0;0.009243549709259441;0.0;0.004720726723644022;0.0;0.0;0.0;0.0;0.006339039699251334;0.0072559531897484495;0.0;0.0;0.004767135136945248;0.0;0.005070238692632566;0.0;0.001810080062310249;0.0;0.011736966715180486;0.0;0.0025733613082693967;0.008994259804401526;0.0;0.0025107533063060466
AZE;0.0;0.0;0.03145980745209018;0.0;0.0;0.0;0.0;0.0;0.0;0.016952430861725848;0.0;0.0;0.0;0.014480432019824527;0.007545459759923807;0.0;0.0;0.0068264811295217715;0.0;0.0;0.0;0.007454230730158521;0.0;0.0;0.0
BDI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03781591828954693;0.0;0.0;0.0;0.00971936125356454;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BEL;0.010058232342626296;0.0;0.005386435629745258;0.0;0.009039195235205988;0.0;0.0;0.0;0.0;0.005378429209694138;0.006340131938658401;0.0;0.0;0.004675644173729307;0.0027859701644705483;0.007060220556164068;0.006515137970298355;0.0;0.008430102995823974;0.006033762662977131;0.0;0.0034486317794627124;0.0072308708242014115;0.0;0.006376955649306455
BEN;0.0;0.0;0.027731339411648192;0.0;0.0;0.0;0.0;0.0;0.0;0.026276958680341005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010713566123848158;0.0;0.008693128149651421;0.0;0.014471206679811666;0.0;0.0;0.0
BFA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026683969217006796;0.019619223332871534;0.0;0.0;0.006552929337303846;0.007428859926366778;0.0;0.0;0.0;0.0;0.0;0.0
BGD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BGR;0.024217657233108557;0.0;0.014306575494095534;0.0;0.00455102898196123;0.0;0.0;0.0;0.0;0.007551952503691353;0.006205340140967007;0.0;0.0;0.007235571405207082;0.002657452771734684;0.005172616934152162;0.0;0.0023138379385465057;0.007639935361900018;0.0;0.0;0.0;0.011132808981507035;0.0;0.004373642837872025
BHR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018305720503418048;0.0;0.0;0.0;0.00643427575716448;0.014303745409107681;0.0;0.0;0.00747130163001437;0.0;0.0;0.0;0.017144479814553276;0.0;0.0;0.019773821354540155
BHS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023847704226044795;0.0;0.0;0.0;0.030779610669087232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BIH;0.0;0.0;0.0;0.0;0.007930152595337202;0.0;0.0;0.0;0.0;0.013342374638538403;0.0;0.0;0.0;0.014053346580692367;0.003707873917096005;0.0;0.0;0.00611865033046501;0.0;0.0;0.0;0.00625459856902378;0.018362304188108868;0.0;0.0
