code,year,GDP_growth_WB,openness_WB,investments,years_schooling,savings,gini,price_level_investment_PWT,gov_consumption_WB,inflation_WB,fertility_WB,GDP_PC
AFG,2007,1,0,1,0,1,0,0,0,1,1,0
AFG,2008,1,0,0,0,0,0,0,0,1,1,0
AFG,2009,1,0,1,0,1,0,0,0,0,1,0
AFG,2010,1,0,1,0,0,0,0,0,0,1,0
ALB,1996,1,0,0,1,1,0,0,0,1,1,0
ALB,1997,0,0,0,1,0,0,0,0,1,1,0
ALB,1998,1,0,0,1,1,0,0,0,1,1,0
ALB,1999,1,0,1,1,1,0,0,0,0,1,0
ALB,2000,1,0,1,1,1,0,1,0,0,1,0
ALB,2001,1,0,1,1,1,0,1,0,0,1,0
ALB,2002,1,0,1,1,1,0,1,0,1,0,0
ALB,2003,1,0,1,1,1,0,1,0,0,0,0
ALB,2004,1,0,1,1,1,0,1,0,0,0,0
ALB,2005,1,0,1,1,1,0,1,0,0,0,0
ALB,2006,1,0,1,1,1,0,0,0,0,0,0
ALB,2007,1,1,1,1,1,0,0,0,0,0,0
ALB,2008,1,1,1,1,0,0,0,0,0,0,0
ARM,1994,1,1,1,1,0,0,0,0,1,0,0
ARM,1995,1,1,0,1,0,1,0,0,1,0,0
ARM,1996,1,1,0,1,0,1,0,0,1,0,0
ARM,1997,0,1,0,1,0,1,0,0,1,0,0
ARM,1998,1,1,0,1,0,0,0,0,1,0,0
ARM,1999,0,1,0,1,0,0,0,0,0,0,0
ARM,2000,1,1,0,1,0,0,0,0,0,0,0
ARM,2001,1,0,0,1,0,0,0,0,0,0,0
ARM,2002,1,1,0,1,0,0,0,0,0,0,0
ARM,2003,1,1,1,1,0,1,0,0,1,0,0
ARM,2004,1,0,1,1,1,1,0,0,1,0,0
ARM,2005,1,0,1,1,1,1,1,0,0,0,0
ARM,2006,1,0,1,1,1,1,1,0,0,0,0
ARM,2007,1,0,1,1,1,0,1,0,0,0,0
ARM,2008,1,0,1,1,1,0,1,0,1,0,0
ARM,2009,0,0,1,1,0,0,1,0,1,0,0
ARM,2010,0,0,1,1,0,0,1,0,1,0,0
AUS,1961,0,0,0,0,0,0,0,0,0,0,0
AUS,1962,0,0,0,0,0,0,0,0,0,0,0
AUS,1963,0,0,0,0,0,0,0,0,0,0,0
AUS,1964,0,0,0,0,0,0,0,0,0,0,0
AUS,1965,0,0,1,1,1,1,1,1,1,0,1
AUS,1966,0,0,1,1,1,1,0,0,0,1,0
AUS,1967,1,0,1,1,1,1,0,0,0,1,0
AUS,1968,0,0,1,1,1,0,0,1,0,0,1
AUS,1969,1,0,1,1,1,0,0,1,0,1,1
AUS,1970,1,0,1,1,1,0,1,0,0,1,1
AUS,1971,1,0,1,1,1,0,1,0,1,1,1
AUS,1972,0,0,1,1,1,0,1,0,1,1,1
AUS,1973,0,0,1,1,1,0,1,1,0,1,1
AUS,1974,1,0,1,1,1,0,1,0,0,1,1
AUS,1975,0,0,1,1,1,0,1,1,1,0,1
AUS,1976,0,0,1,1,1,0,1,1,1,0,1
AUS,1977,0,0,1,1,0,0,1,1,1,0,1
AUS,1978,0,0,1,1,0,0,1,1,0,0,1
AUS,1979,0,0,1,1,0,0,1,1,0,0,1
AUS,1980,0,0,1,1,1,0,1,1,0,0,1
AUS,1981,1,0,1,1,1,0,1,1,0,0,1
AUS,1982,1,0,1,1,0,0,1,1,1,0,1
AUS,1983,0,0,1,1,0,0,1,1,1,0,1
AUS,1984,1,0,1,1,1,0,1,1,0,0,1
AUS,1985,1,0,1,1,0,0,1,1,1,0,1
AUS,1986,1,0,1,1,0,0,1,1,1,0,1
AUS,1987,0,0,1,1,0,0,1,1,1,0,1
AUS,1988,1,0,1,1,1,0,1,1,0,0,1
AUS,1989,0,0,1,1,1,0,1,1,0,0,1
AUS,1990,0,0,1,1,0,0,1,1,0,0,1
AUS,1991,0,0,1,1,0,0,1,1,0,0,1
AUS,1992,0,0,1,1,0,0,1,1,0,0,1
AUS,1993,1,0,1,1,0,0,1,1,0,0,1
AUS,1994,1,0,1,1,0,0,1,1,0,0,1
AUS,1995,0,0,1,1,0,0,1,1,0,0,1
AUS,1996,0,0,1,1,0,0,1,1,0,0,1
AUS,1997,0,0,1,1,0,0,1,1,0,0,1
AUS,1998,1,0,1,1,0,0,1,1,0,0,1
AUS,1999,1,0,1,1,0,0,1,1,0,0,1
AUS,2000,0,0,1,1,0,0,1,1,1,0,1
AUS,2001,0,0,1,1,0,0,1,1,1,0,1
AUS,2002,1,0,1,1,0,0,1,1,0,0,1
AUS,2003,0,0,1,1,0,0,1,1,0,0,1
AUS,2004,0,0,1,1,0,0,1,1,0,0,1
AUS,2005,0,0,1,1,0,0,1,1,0,0,1
AUS,2006,0,0,1,1,0,0,1,1,0,0,1
AUS,2007,0,0,1,1,0,0,1,1,0,0,1
AUS,2008,1,0,1,1,0,0,1,1,0,0,1
AUS,2009,1,0,1,1,1,0,1,1,0,0,1
AUS,2010,0,0,1,1,1,0,1,1,0,0,1
AUT,1970,1,1,1,1,1,0,0,1,0,0,1
AUT,1971,1,1,1,1,1,0,0,1,0,0,1
AUT,1982,1,1,1,1,1,0,0,1,0,0,1
AUT,1983,1,1,1,1,0,0,0,1,0,0,1
AUT,1984,0,1,1,1,1,0,0,1,0,0,1
AUT,1985,0,1,1,1,0,0,1,1,0,0,1
AUT,1986,0,1,1,1,1,0,1,1,0,0,1
AUT,1987,0,1,1,1,1,0,1,1,0,0,1
AUT,1988,0,1,1,1,1,0,1,1,0,0,1
AUT,1989,0,1,1,1,1,0,1,1,0,0,1
AUT,1990,1,1,1,1,1,0,1,1,0,0,1
AUT,1991,1,1,1,1,1,0,1,1,0,0,1
AUT,1992,1,1,1,1,1,0,1,1,0,0,1
AUT,1993,0,1,1,1,1,0,1,1,0,0,1
AUT,1994,0,1,1,1,0,0,1,1,0,0,1
AUT,1995,0,1,1,1,1,0,1,1,0,0,1
AUT,1996,0,1,1,1,1,0,1,1,0,0,1
AUT,1997,0,1,1,1,1,0,1,1,0,0,1
AUT,1998,0,1,1,1,1,0,1,1,0,0,1
AUT,1999,1,1,1,1,1,0,1,1,0,0,1
AUT,2000,0,1,1,1,1,0,1,1,0,0,1
AUT,2001,0,1,1,1,1,0,1,1,0,0,1
AUT,2002,0,1,1,1,1,0,1,1,0,0,1
AUT,2003,0,1,1,1,1,0,1,1,0,0,1
AUT,2004,0,1,1,1,1,0,1,1,0,0,1
AUT,2005,0,1,1,1,1,0,1,1,0,0,1
AUT,2006,0,1,1,1,1,0,1,1,0,0,1
AUT,2007,0,1,1,1,1,0,1,1,0,0,1
AUT,2008,0,1,0,1,1,0,1,1,0,0,1
AUT,2009,0,1,1,1,1,0,1,1,0,0,1
AUT,2010,0,1,1,0,1,0,1,1,0,0,1
BDI,1992,0,0,1,0,0,0,1,1,0,1,0
BDI,1993,0,0,1,0,0,0,1,1,1,1,0
BDI,1994,0,0,0,0,0,0,1,1,1,1,0
BDI,1995,0,0,0,0,0,0,1,1,1,1,0
BDI,1996,0,0,0,0,0,0,1,1,1,1,0
BDI,1997,0,0,0,0,0,0,1,1,1,1,0
BDI,1998,1,0,0,0,0,1,1,1,1,1,0
BDI,1999,0,0,0,0,0,0,1,1,1,1,0
BDI,2000,0,0,0,0,0,0,1,1,1,1,0
BDI,2001,0,0,0,0,0,0,0,0,1,1,0
BDI,2002,1,0,0,0,0,0,0,0,0,1,0
BDI,2003,0,0,0,0,0,0,0,1,1,1,0
BDI,2004,0,0,0,0,0,0,0,1,1,1,0
BDI,2005,0,0,0,0,0,0,0,1,1,1,0
BDI,2006,1,0,0,0,0,0,0,1,0,1,0
BEL,1972,0,1,1,1,1,0,1,1,0,0,1
BEL,1973,0,1,1,1,0,0,1,1,0,0,1
BEL,1974,1,1,1,1,0,0,1,1,0,0,1
BEL,1975,0,1,1,1,0,0,1,1,1,0,1
BEL,1976,1,1,1,1,0,0,1,1,0,0,1
BEL,1977,0,1,1,1,0,0,1,1,0,0,1
BEL,1978,0,1,1,1,0,0,1,1,0,0,1
BEL,1979,0,1,1,1,0,0,1,1,0,0,1
BEL,1980,1,1,1,1,0,0,1,1,0,0,1
BEL,1981,0,1,0,1,0,0,1,1,0,0,1
BEL,1982,0,1,0,1,0,0,1,1,0,0,1
BEL,1983,0,1,0,1,0,0,0,1,0,0,1
BEL,1984,0,1,0,1,0,0,0,1,0,0,1
BEL,1985,0,1,0,1,0,0,1,1,0,0,1
BEL,1986,0,1,0,1,0,0,1,1,0,0,1
BEL,1987,0,1,0,1,0,0,1,1,0,0,1
BEL,1988,1,1,0,1,0,0,1,1,0,0,1
BEL,1989,0,1,1,1,0,0,1,1,0,0,1
BEL,1990,0,1,1,1,0,0,1,1,0,0,1
BEL,1991,0,1,1,1,0,0,1,1,0,0,1
BEL,1992,0,1,1,1,0,0,1,1,0,0,1
BEL,1993,0,1,1,1,1,0,1,1,0,0,1
BEL,1994,0,1,0,1,1,0,1,1,0,0,1
BEL,1995,0,1,0,1,0,0,1,1,0,0,1
BEL,1996,0,1,0,1,1,0,1,1,0,0,1
BEL,1997,0,1,1,1,1,0,1,1,0,0,1
BEL,1998,0,1,0,1,1,0,1,1,0,0,1
BEL,1999,1,1,1,1,1,0,1,1,0,0,1
BEL,2000,0,1,1,1,1,0,1,1,0,0,1
BEL,2001,0,1,1,1,0,0,1,1,0,0,1
BEL,2002,0,1,0,1,1,0,1,1,0,0,1
BEL,2003,0,1,0,1,1,0,1,1,0,0,1
BEL,2004,0,1,1,1,1,0,1,1,0,0,1
BEL,2005,0,1,1,1,1,0,1,1,0,0,1
BEL,2006,0,1,1,1,1,0,1,1,0,0,1
BEL,2007,0,1,0,1,1,0,1,1,0,0,1
BEL,2008,0,1,1,1,1,0,1,1,0,0,1
BEL,2009,0,1,1,1,0,0,1,1,0,0,1
BEL,2010,0,1,1,1,1,0,1,1,0,0,1
BEN,2003,0,0,0,0,0,0,0,0,0,1,0
BEN,2004,0,0,0,0,0,0,0,0,0,1,0
BEN,2005,0,0,0,0,0,0,0,0,1,1,0
BEN,2006,0,0,0,0,0,0,0,0,0,1,0
BGD,1987,1,0,0,0,0,0,0,0,1,1,0
BGD,1988,0,0,0,0,0,0,1,0,0,1,0
BGD,1989,0,0,0,0,0,0,0,0,0,1,0
BGD,1990,1,0,0,0,0,0,1,0,0,1,0
BGD,1991,1,0,0,0,1,0,0,0,0,1,0
BGD,1992,1,0,0,0,1,0,0,0,0,1,0
BGD,1993,1,0,0,0,1,0,0,0,0,1,0
BGD,1994,1,0,0,0,1,1,0,0,0,1,0
BGD,1995,1,0,0,0,1,1,0,0,1,1,0
BGD,1996,1,0,0,0,1,0,0,0,0,1,0
BGD,1997,1,0,0,0,1,1,0,0,0,1,0
BGD,1998,1,0,1,0,1,1,0,0,1,1,0
BGD,1999,1,0,1,0,1,1,0,0,1,1,0
BGD,2000,1,0,1,0,1,0,1,0,0,1,0
BGD,2001,1,0,1,0,1,1,0,0,0,1,0
BGD,2002,1,0,1,0,1,1,0,0,1,1,0
BGD,2003,1,0,1,0,1,1,0,0,1,1,0
BGD,2004,1,0,1,0,1,1,0,0,1,1,0
BGD,2005,1,0,1,0,1,0,0,0,1,1,0
BGD,2006,1,0,1,0,1,1,0,0,1,1,0
BGD,2007,1,0,1,0,1,1,0,0,1,1,0
BGD,2008,1,0,1,0,1,1,0,0,1,1,0
BGD,2009,1,0,1,0,1,1,0,0,1,1,0
BGD,2010,1,0,1,0,1,1,0,0,1,1,0
BGR,1986,1,1,1,1,1,0,1,1,0,0,1
BGR,1987,1,1,1,1,1,0,1,1,0,0,1
BGR,1988,1,1,1,1,1,0,1,1,0,0,1
BGR,1989,0,1,1,1,1,0,1,1,0,0,1
BGR,1990,0,1,0,1,1,0,0,1,1,0,1
BGR,1991,0,1,0,1,0,0,0,1,1,0,1
BGR,1992,0,1,0,1,0,0,0,1,1,0,1
BGR,1993,0,1,0,1,0,0,0,1,1,0,0
BGR,1994,0,1,0,1,0,0,0,1,1,0,0
BGR,1995,0,1,0,1,0,0,0,1,1,0,0
BGR,1996,0,1,0,1,0,0,0,0,1,0,0
BGR,1997,0,1,0,1,1,0,0,0,1,0,0
BGR,1998,0,1,0,1,1,0,0,0,1,0,0
BGR,1999,0,1,0,1,0,0,0,1,0,0,1
BGR,2000,1,1,0,1,0,0,0,1,1,0,1
BGR,2001,1,1,0,1,0,0,0,1,1,0,1
BGR,2002,1,1,0,1,0,0,0,1,1,0,1
BGR,2003,1,1,1,1,0,0,0,1,0,0,1
BGR,2004,1,1,1,1,0,0,0,1,1,0,1
BGR,2005,1,1,1,1,0,0,0,1,1,0,1
BGR,2006,1,1,1,1,0,0,0,1,1,0,1
BGR,2007,1,1,1,1,0,0,1,1,1,0,1
BGR,2008,1,1,1,1,0,0,1,1,1,0,1
BGR,2009,0,1,1,1,1,0,1,0,0,0,0
BGR,2010,0,1,1,1,1,1,0,0,0,0,0
BLZ,1993,1,1,1,1,1,1,0,0,0,1,1
BLZ,1994,0,1,0,1,0,1,0,1,0,1,0
BLZ,1995,0,1,0,1,1,1,0,0,0,1,1
BLZ,1996,0,1,0,1,0,1,0,1,0,1,1
BLZ,1997,0,1,0,1,0,1,0,1,0,1,1
BLZ,1998,0,1,0,1,0,1,0,0,0,1,1
BLZ,1999,1,1,1,1,0,1,0,0,0,1,1
BOL,1984,0,0,0,0,0,1,1,0,1,1,0
BOL,1985,0,0,0,0,0,1,1,0,1,1,0
BOL,1986,0,0,0,0,0,1,0,0,1,1,0
BOL,1987,0,0,0,0,0,1,0,0,1,1,0
BOL,1988,0,0,0,1,0,1,0,0,1,1,0
BOL,1989,0,0,0,1,0,1,0,0,1,1,0
BOL,1990,1,0,0,1,0,1,0,0,1,1,0
BOL,1991,1,0,0,1,0,1,0,0,1,1,0
BOL,1992,0,0,0,1,0,1,0,0,1,1,0
BOL,1993,1,0,0,0,0,1,0,0,1,1,0
BOL,1994,1,0,0,0,0,1,0,0,0,1,0
BOL,1995,1,0,0,0,0,1,0,0,1,1,0
BOL,1996,1,0,0,0,0,1,0,0,1,1,0
BOL,1997,1,0,0,0,0,1,0,0,0,1,0
BOL,1998,1,0,1,0,0,1,0,0,1,1,0
BOL,1999,0,0,0,0,0,1,1,0,0,1,0
BOL,2000,0,0,0,1,0,1,1,0,1,1,0
BOL,2001,0,0,0,0,0,1,1,1,0,1,0
BOL,2002,0,0,0,0,0,1,0,1,0,1,0
BOL,2003,0,0,0,0,0,1,0,1,0,1,0
BOL,2004,0,0,0,0,0,1,0,1,1,1,0
BOL,2005,1,0,0,0,1,1,0,0,1,1,0
BOL,2006,0,0,0,0,1,1,0,0,0,1,0
BOL,2007,0,0,0,0,1,1,0,0,1,1,0
BOL,2008,1,1,0,0,1,1,0,0,1,1,0
BOL,2009,1,0,0,0,1,1,0,0,1,1,0
BOL,2010,1,1,0,0,1,1,0,0,0,1,0
BRA,1981,0,0,0,0,1,1,0,0,1,1,0
BRA,1982,0,0,0,0,0,1,0,0,1,1,0
BRA,1983,0,0,0,0,0,1,0,0,1,1,0
BRA,1984,1,0,0,0,0,1,0,0,1,1,0
BRA,1985,1,0,0,0,1,1,0,0,1,1,0
BRA,1986,1,0,0,0,0,1,0,0,1,1,0
BRA,1987,0,0,0,0,1,1,0,0,1,0,0
BRA,1988,0,0,0,0,1,1,0,0,1,0,0
BRA,1989,0,0,1,0,1,1,1,0,1,0,0
BRA,1990,0,0,0,0,1,1,0,1,1,0,0
BRA,1991,0,0,0,0,1,1,0,1,1,0,1
BRA,1992,0,0,0,0,1,1,0,1,1,0,0
BRA,1993,1,0,0,0,1,1,0,1,1,0,1
BRA,1994,1,0,1,0,1,1,0,1,1,0,1
BRA,1995,1,0,0,0,0,1,1,1,1,0,1
BRA,1996,0,0,0,0,0,1,1,1,1,0,1
BRA,1997,0,0,0,0,0,1,1,1,1,0,1
BRA,1998,0,0,0,0,0,1,1,1,0,0,1
BRA,1999,0,0,0,0,0,1,0,1,1,1,1
BRA,2000,1,0,0,0,0,1,1,1,1,0,1
BRA,2001,0,0,0,0,0,1,0,1,1,1,1
BRA,2002,0,0,0,0,0,1,0,1,1,1,1
BRA,2003,0,0,0,0,0,1,0,1,1,1,1
BRA,2004,1,0,0,0,1,1,0,1,1,0,1
BRA,2005,0,0,0,0,0,1,1,1,1,0,1
BRA,2006,0,0,0,0,0,1,1,1,0,0,1
BRA,2007,1,0,0,0,0,1,1,1,0,0,1
BRA,2008,1,0,0,0,0,1,1,1,0,0,1
BRA,2009,1,0,0,0,0,1,1,1,1,0,0
BRA,2010,1,0,0,0,1,1,1,1,1,0,0
BRB,1981,0,1,0,1,0,0,0,0,1,0,1
BRB,1996,0,1,0,1,0,0,0,0,0,0,1
BRB,1997,1,1,0,1,0,1,0,0,1,0,1
BRB,1998,0,1,0,1,0,1,0,0,0,0,1
BRB,1999,0,1,0,1,0,1,0,0,0,0,1
BRB,2000,1,1,0,1,0,1,0,0,0,0,1
BRB,2001,0,1,0,1,0,1,0,0,0,0,1
BRB,2002,0,1,0,1,0,1,0,0,0,0,1
BRB,2003,0,1,0,1,0,1,0,1,0,0,1
BRB,2004,0,1,0,1,0,1,0,1,0,0,1
BRB,2005,0,1,0,1,0,1,0,1,1,0,1
BRB,2006,1,1,0,1,0,1,0,0,1,0,1
BRB,2007,0,1,0,1,0,1,0,1,0,0,1
BRB,2008,0,1,0,0,0,1,0,1,1,0,1
BRB,2009,0,1,0,0,0,1,0,1,1,0,1
BRB,2010,0,1,0,0,0,1,0,1,1,0,1
BWA,1975,1,1,1,0,1,1,0,1,1,1,0
BWA,1985,1,1,0,0,1,1,0,1,1,1,0
BWA,1986,1,1,1,0,1,1,0,1,1,1,0
BWA,1987,1,1,0,0,1,1,0,1,1,1,0
BWA,1988,1,1,1,0,1,1,0,1,1,1,0
BWA,1989,1,1,1,0,1,1,0,1,1,1,0
BWA,1990,1,1,1,0,1,1,0,1,1,1,0
BWA,1991,1,1,1,0,1,1,0,1,1,1,1
BWA,1992,1,1,1,1,1,1,0,1,1,1,1
BWA,1993,0,1,1,1,1,1,0,1,1,1,1
BWA,1994,0,1,1,1,1,1,0,1,1,1,1
BWA,1995,1,1,1,1,1,1,0,1,1,1,1
BWA,1996,1,1,1,1,1,1,0,1,1,1,1
BWA,1997,1,1,1,1,1,1,0,1,1,1,1
BWA,1998,0,1,1,1,1,1,0,1,1,1,1
BWA,1999,1,1,1,1,1,1,0,1,1,1,1
BWA,2000,0,1,1,1,1,1,0,1,1,1,1
BWA,2001,0,1,1,1,1,1,0,1,1,1,1
BWA,2002,1,1,1,1,1,1,0,1,1,1,1
BWA,2003,1,1,1,1,1,1,0,1,1,1,1
BWA,2004,0,1,1,1,1,1,0,1,1,1,1
BWA,2005,1,1,1,1,1,1,0,1,1,1,1
CAF,1992,0,0,0,0,0,1,1,1,0,1,0
CAF,1993,0,0,0,0,0,1,1,0,0,1,0
CAF,1994,1,0,0,0,0,1,1,1,1,1,0
CAF,1995,1,0,0,0,0,1,1,0,1,1,0
CAF,1996,0,0,0,0,0,1,1,0,0,1,0
CAF,1997,1,0,0,0,0,1,1,0,0,1,0
CAF,1998,1,0,0,0,0,1,1,0,0,1,0
CAF,1999,1,0,0,0,0,1,1,1,0,1,0
CAF,2000,0,0,0,0,0,1,1,1,0,1,0
CAF,2001,1,0,0,0,0,1,1,0,0,1,0
CAF,2002,1,0,0,0,0,1,1,0,0,1,0
CAF,2003,0,0,0,0,0,1,1,0,1,1,0
CAF,2004,1,0,0,0,0,1,1,0,0,1,0
CAF,2005,0,0,0,0,0,1,1,0,0,1,0
CAF,2006,0,0,0,0,0,1,1,0,1,1,0
CAF,2007,0,0,0,0,0,1,1,0,0,1,0
CAF,2008,0,0,0,0,0,1,1,0,1,1,0
CAN,1965,1,1,0,1,1,0,1,1,0,1,1
CAN,1966,1,1,0,0,0,0,1,1,1,0,1
CAN,1967,0,1,0,0,0,0,1,1,1,0,1
CAN,1968,1,1,0,1,0,0,1,1,1,0,1
CAN,1969,0,1,1,1,1,1,1,1,1,0,1
CAN,1970,0,1,0,1,0,0,1,1,0,0,1
CAN,1971,1,1,0,1,1,1,1,1,0,0,1
CAN,1972,0,1,0,1,0,0,1,1,0,0,1
CAN,1973,1,0,0,1,0,0,1,1,0,0,1
CAN,1974,0,0,0,1,0,0,1,1,0,0,1
CAN,1975,0,0,0,1,0,0,1,1,0,0,1
CAN,1976,1,0,1,1,0,0,1,1,0,0,1
CAN,1977,0,0,0,1,0,0,1,1,0,0,1
CAN,1978,0,1,0,1,0,0,1,1,0,0,1
CAN,1979,0,1,0,1,0,0,1,1,0,0,1
CAN,1980,0,0,0,1,0,0,1,1,0,0,1
CAN,1981,1,0,0,1,0,0,1,1,0,0,1
CAN,1982,0,0,0,1,0,0,1,1,0,0,1
CAN,1983,0,0,0,1,0,0,1,1,0,0,1
CAN,1984,1,0,0,1,0,0,1,1,0,0,1
CAN,1985,1,0,0,1,0,0,1,1,0,0,1
CAN,1986,0,1,1,1,0,0,1,1,0,0,1
CAN,1987,1,0,0,1,0,0,1,1,0,0,1
CAN,1988,1,0,1,1,0,0,1,1,0,0,1
CAN,1989,0,0,1,1,0,0,1,1,0,0,1
CAN,1990,0,0,0,1,0,0,1,1,0,0,1
CAN,1991,0,0,0,1,0,0,1,1,0,0,1
CAN,1992,0,0,0,1,0,0,1,1,0,0,1
CAN,1993,0,1,0,1,0,0,1,1,0,0,1
CAN,1994,1,0,0,1,0,0,1,1,0,0,1
CAN,1995,0,1,0,1,0,0,1,1,0,0,1
CAN,1996,0,1,0,1,0,0,1,1,0,0,1
CAN,1997,1,1,0,1,0,0,1,1,0,0,1
CAN,1998,1,1,0,1,0,0,1,1,0,0,1
CAN,1999,1,1,0,1,0,0,1,1,0,0,1
CAN,2000,1,1,0,1,1,0,1,1,0,0,1
CAN,2001,0,1,0,1,0,0,1,1,0,0,1
CAN,2002,0,1,0,1,0,0,1,1,0,0,1
CAN,2003,0,1,0,1,0,0,1,1,0,0,1
CAN,2004,0,0,0,1,1,0,1,1,0,0,1
CAN,2005,0,0,1,1,1,0,1,1,0,0,1
CAN,2006,0,0,1,1,1,0,1,1,0,0,1
CAN,2007,0,0,0,1,0,0,1,1,0,0,1
CAN,2008,0,0,0,1,0,0,1,1,0,0,1
CAN,2009,0,0,1,1,0,0,1,1,0,0,1
CAN,2010,0,0,1,1,0,0,1,1,0,0,1
CHE,1982,0,1,1,1,1,0,1,0,0,0,1
CHE,1989,1,1,1,1,1,0,1,0,0,0,1
CHE,1990,0,1,1,1,1,0,1,0,0,0,1
CHE,1991,0,1,1,1,1,0,1,0,0,0,1
CHE,1992,0,1,1,1,1,0,1,0,0,0,1
CHE,1993,0,1,1,1,1,0,1,0,0,0,1
CHE,1994,0,1,1,1,1,0,1,0,0,0,1
CHE,1995,0,1,1,1,1,0,1,0,0,0,1
CHE,1996,0,1,1,1,1,0,1,0,0,0,1
CHE,1997,0,1,1,1,1,0,1,0,0,0,1
CHE,1998,0,1,1,1,1,0,1,0,0,0,1
CHE,1999,0,1,1,1,1,0,1,0,0,0,1
CHE,2000,0,1,1,1,1,0,1,0,0,0,1
CHE,2001,0,1,1,1,1,0,1,0,0,0,1
CHE,2002,0,1,1,1,1,0,1,0,0,0,1
CHE,2003,0,1,1,1,1,0,1,0,0,0,1
CHE,2004,0,1,0,1,1,0,1,0,0,0,1
