code,year,gini,PPPI,sch_male,sch_female,log(GNI_PC),growth,gini_growth
AUS,1980.0,37.58,85.6,4.52,4.39,9.42779505102,0.0275024540862,-0.35
AUS,1985.0,41.72,89.59,4.66,4.52,9.56530732145,0.0474427201065,0.828
BGD,1965.0,34.2,67.38,0.46,0.04,4.9290346058,0.136065589446,-0.622
BGD,1970.0,36.0,97.08,0.52,0.06,5.60936255303,-0.0405060920198,0.36
BGD,1975.0,35.17,60.91,0.85,0.15,5.40683209293,0.0143558187898,-0.166
BGD,1980.0,36.0,53.0,1.0,0.31,5.47861118688,0.0437937463173,0.166
BGD,1985.0,35.45,62.08,1.13,0.48,5.69757991846,-0.0046274913479,-0.11
BGR,1975.0,25.01,54.26,2.93,2.77,7.72374699,-0.0286156969267,1.436
BGR,1980.0,23.42,31.86,3.12,3.15,7.58066850536,0.0386134523743,-0.318
BGR,1985.0,24.53,27.91,2.92,3.19,7.77373576723,-0.145505724316,0.222
BRA,1970.0,61.94,63.78,0.67,0.56,7.03957371122,0.061080517633,0.866
BRA,1975.0,57.78,66.2,0.79,0.71,7.34497629939,0.00155138607447,-0.832
BRA,1980.0,61.76,47.33,0.98,0.95,7.35273322976,0.135445949634,0.796
BRA,1985.0,59.6,90.0,1.2,1.26,8.02996297793,0.0251102578919,-0.432
CAN,1960.0,31.61,103.34,2.54,2.62,7.83578412052,0.0973539044032,-0.086
CAN,1965.0,32.3,107.06,2.8,2.79,8.32255364254,0.0442090769751,0.138
CAN,1970.0,31.62,116.46,3.28,3.1,8.54359902741,0.154553013256,-0.136
CAN,1975.0,31.0,93.33,3.68,3.45,9.31636409369,0.0459641571692,-0.124
CAN,1980.0,32.81,74.53,3.81,3.57,9.54618487954,0.0840779993814,0.362
CAN,1985.0,27.56,78.84,4.03,3.93,9.96657487645,-0.0147722404548,-1.05
CHL,1970.0,46.0,36.45,1.58,1.43,6.54172324567,0.198669267702,0.072
CHL,1975.0,53.21,104.13,1.76,1.63,7.53506958418,-0.0637431976592,1.442
CHN,1980.0,31.4,37.72,1.53,0.85,5.27589244004,0.0961119488633,-0.12
CHN,1985.0,34.6,33.67,1.89,1.2,5.75645218435,0.080004013056,0.64
COL,1970.0,46.0,50.42,1.0,0.81,6.27115619631,0.164475282662,-1.204
COL,1975.0,54.5,64.5,1.19,0.99,7.09353260962,-0.0135629028805,1.7
CRI,1975.0,45.0,89.58,0.92,0.86,7.61189712075,-0.0281229591073,0.12
CRI,1980.0,47.0,75.81,1.2,1.14,7.47128232522,0.0616622064855,0.4
CRI,1985.0,46.07,63.64,1.47,1.43,7.77959335764,0.0507395675209,-0.186
DEU,1965.0,33.57,75.79,0.92,0.55,7.91961788091,0.1629486286,1.088
DEU,1970.0,30.6163,98.88,1.04,0.65,8.73436102391,0.133193982116,-0.59074
DEU,1975.0,32.0648,120.43,1.51,0.88,9.40033093449,-0.0505031995223,0.2897
DEU,1980.0,32.195,67.51,2.03,1.12,9.14781493687,0.172182777586,0.02604
DNK,1980.0,30.99,74.62,3.71,2.75,9.4065199903,0.158388095259,-0.002
DNK,1985.0,33.1451,119.68,4.1,3.23,10.1984604666,0.0220465752268,0.43102
ESP,1975.0,33.39,95.45,1.44,0.9,8.6574814875,-0.0498487440103,-0.744
ESP,1980.0,31.79,55.4,1.78,1.24,8.40823776744,0.224450843383,-0.32
ESP,1985.0,32.51,92.54,2.08,1.54,9.53049198436,-0.00452298392786,0.144
FIN,1970.0,27.0,96.73,2.59,2.37,8.7419660193,0.0149091646998,-0.96
FIN,1975.0,30.86,97.78,3.23,3.02,8.8165118428,0.105075430368,0.772
FIN,1980.0,30.84,71.91,2.95,2.62,9.34188899464,0.182314059474,-0.004
FIN,1985.0,26.1882,129.27,3.16,2.53,10.253459292,-0.0669616226195,-0.93036
FRA,1960.0,47.0,87.74,0.78,0.63,7.55969847421,0.070121019761,-0.4
FRA,1965.0,44.0,81.19,1.11,0.83,7.91030357302,0.133695489739,-0.6
FRA,1970.0,43.0,90.91,1.57,1.15,8.57878102171,0.174313598995,-0.2
FRA,1975.0,34.8504,117.26,2.03,1.47,9.45034901668,-0.0525461815347,-1.62992
FRA,1980.0,34.9145,63.81,2.6,2.0,9.18761810901,0.160365733506,0.01282
GBR,1965.0,25.1,69.14,2.01,2.04,7.7611250896,0.121037210345,0.16
GBR,1970.0,23.3,91.63,2.33,2.27,8.36631114133,0.169446061945,-0.36
GBR,1975.0,24.9,127.84,2.39,2.42,9.21354145105,-0.0295941272535,0.32
GBR,1980.0,27.1,71.58,2.52,2.65,9.06557081479,0.158327088232,0.44
GBR,1985.0,32.3,106.28,2.89,2.88,9.85720625594,0.00632729757357,1.04
HKG,1975.0,37.3,114.85,2.84,1.85,8.42714893785,0.0717983306761,-0.5
HKG,1980.0,45.18,72.04,3.31,2.42,8.78614059123,0.144646610174,1.576
HKG,1985.0,42.0,104.86,3.79,3.06,9.5093736421,0.102402318936,-0.636
IDN,1980.0,39.0,33.88,0.91,0.43,6.27153155833,0.0145496082859,-0.642
IDN,1985.0,39.69,34.33,1.18,0.63,6.34427959976,0.0942935029985,0.138
IND,1960.0,37.74,67.74,0.27,0.05,4.80159806481,-0.0119189070403,-0.29
IND,1965.0,36.98,47.34,0.32,0.06,4.74200352961,0.0680903147161,-0.152
IND,1970.0,35.77,50.29,0.55,0.14,5.08245510319,0.104614156672,-0.242
IND,1975.0,38.74,54.99,0.87,0.26,5.60552588655,0.0213181370146,0.594
IND,1980.0,38.09,44.46,1.04,0.37,5.71211657162,0.0430429514085,-0.13
IND,1985.0,36.29,36.71,1.21,0.48,5.92733132866,-0.0120070032938,-0.36
ITA,1975.0,34.29,98.24,2.08,1.48,9.03980047574,-0.0113416474265,-0.942
ITA,1980.0,33.15,64.32,2.59,1.94,8.98309223861,0.191583032122,-0.228
ITA,1985.0,32.74,103.3,3.05,2.41,9.94100739922,-0.0148277718121,-0.082
JPN,1965.0,35.5,77.29,1.85,1.38,6.96461145468,0.293037303305,0.14
JPN,1970.0,34.4,93.52,2.39,1.86,8.4297979712,0.141762857555,-0.22
JPN,1975.0,33.4,107.71,3.01,2.27,9.13861225897,0.029492980657,-0.2
JPN,1980.0,35.9,88.06,3.33,2.66,9.28607716226,0.164826139114,0.5
JPN,1985.0,35.0,136.14,3.52,3.04,10.1102078578,0.0912702939741,-0.18
KOR,1965.0,33.3,55.52,1.73,0.6,5.05034811977,0.284144433102,-0.208
KOR,1970.0,36.01,56.52,2.18,0.91,6.47107028528,0.211217646542,0.542
KOR,1975.0,38.63,77.27,2.76,1.38,7.52715851799,0.0573246952169,0.524
KOR,1980.0,34.54,59.69,3.41,1.98,7.81378199408,0.197490867907,-0.818
KOR,1985.0,33.64,68.36,4.03,2.63,8.80123633361,0.0872519432143,-0.18
LKA,1965.0,37.71,103.92,1.73,1.19,5.07783627049,0.11204682846,-1.858
LKA,1970.0,35.3,86.89,1.71,1.31,5.63807041279,-0.0754770895037,-0.482
LKA,1975.0,42.0,35.33,1.5,1.26,5.26068496527,0.134513768994,1.34
LKA,1980.0,45.3,39.25,1.77,1.53,5.93325381024,0.0191450367473,0.66
LKA,1985.0,36.7,31.01,2.05,1.87,6.02897899398,0.0911141672215,-1.72
MEX,1960.0,55.5,60.48,0.59,0.45,6.19277706981,0.0667734843184,0.08
MEX,1965.0,57.7,59.87,0.77,0.55,6.5266444914,0.115676195694,0.44
MEX,1970.0,57.9,66.47,1.04,0.76,7.10502546987,0.166706764979,0.04
MEX,1975.0,50.0,77.1,1.35,0.9,7.93855929476,-0.0322574426836,-1.58
MEX,1980.0,50.58,60.58,1.6,1.26,7.77727208134,0.0503476013554,0.116
MEX,1985.0,54.98,60.04,1.85,1.59,8.02901008812,0.123514802145,0.88
MYS,1970.0,51.8,64.24,1.19,0.48,6.62708408274,0.170349068289,0.36
MYS,1975.0,51.0,65.79,1.47,0.74,7.47882942419,0.0223197339096,-0.16
MYS,1980.0,48.0,49.12,2.01,1.24,7.59042809374,0.0400070065504,-0.6
MYS,1985.0,48.35,40.74,2.5,1.84,7.79046312649,0.0843632829661,0.07
NLD,1975.0,28.14,128.46,3.6,2.73,9.51898888494,-0.0647560450624,-0.092
NLD,1980.0,29.1,75.77,4.09,3.26,9.19520865963,0.151595877776,0.192
NLD,1985.0,29.6,112.59,4.35,3.58,9.95318804851,0.0292698954971,0.1
NOR,1965.0,36.04,87.06,1.38,0.85,8.10356066338,0.181774297967,-0.296
NOR,1970.0,37.48,127.27,1.59,1.05,9.01243215321,0.130714923208,0.288
NOR,1975.0,31.15,135.83,1.95,1.36,9.66600676925,-0.0110090340128,-1.266
NOR,1980.0,31.39,102.67,2.65,2.08,9.61096159919,0.127527465404,0.048
NOR,1985.0,33.11,128.07,3.26,2.72,10.2485989262,0.00745688042072,0.344
NZL,1975.0,34.79,94.69,4.36,3.91,8.80507494817,0.00136623425351,0.95
NZL,1980.0,35.82,68.76,4.15,3.76,8.81190611944,0.143509506731,0.206
NZL,1985.0,40.21,87.27,3.85,3.48,9.5294536531,0.0209724511922,0.878
PAK,1970.0,38.05,55.84,0.9,0.21,5.13451587014,0.116129678509,0.308
PAK,1975.0,38.92,66.34,1.14,0.11,5.71516426269,0.028154325495,0.174
PAK,1980.0,39.04,52.98,1.35,0.33,5.85593589016,0.0124935617933,0.024
PAK,1985.0,38.03,40.31,1.47,0.4,5.91840369913,0.0309420564715,-0.202
SGP,1975.0,40.69,109.95,1.08,0.7,8.26861385983,0.116868721257,-0.062
SGP,1980.0,42.0,94.31,1.37,1.19,8.85295746611,0.105672380473,0.262
SGP,1985.0,39.0,100.44,1.55,1.36,9.38131936847,0.119629113838,-0.6
SWE,1970.0,27.3086,117.7,3.24,3.01,8.9841735697,0.121841853201,-1.22022
SWE,1975.0,32.44,138.72,3.76,3.41,9.59338283571,-0.0330955461344,1.02628
SWE,1980.0,31.24,86.93,3.97,3.78,9.42790510503,0.177288699405,-0.24
SWE,1985.0,32.52,124.23,4.24,4.17,10.3143486021,-0.0316531641271,0.256
THA,1965.0,42.63,49.57,0.33,0.14,5.25814963492,0.109467599568,0.27
THA,1970.0,41.74,64.23,0.45,0.22,5.80548763277,0.144135543918,-0.178
TTO,1975.0,46.09,112.2,1.03,0.97,8.65620364587,0.0183938915086,-0.982
TTO,1980.0,41.72,81.35,1.23,1.21,8.74817310342,-0.0835763719802,-0.874
TUN,1975.0,49.6,128.07,0.94,0.29,7.05321660761,0.00266714189668,-0.2
TUN,1980.0,49.6,94.73,1.24,0.43,7.06655231709,0.0159315694639,0.0
TUN,1985.0,46.84,91.37,1.49,0.64,7.14621016441,0.0675538911129,-0.552
USA,1960.0,34.64,86.33,3.71,3.79,8.24997421039,0.0630830782611,-0.048
USA,1965.0,34.06,84.11,4.26,4.3,8.56538960169,0.0798117208164,-0.116
USA,1970.0,34.42,86.52,4.75,4.76,8.96444820577,0.0953637503579,0.072
USA,1975.0,35.2,88.48,5.14,5.11,9.44126695756,0.0743434127929,0.156
USA,1980.0,37.26,83.84,4.88,5.26,9.81298402153,0.0541853186508,0.412
USA,1985.0,37.8,74.45,4.8,5.37,10.0839106148,0.0296079765794,0.108
VEN,1975.0,39.42,105.97,1.72,1.53,8.38374351776,-0.0558630047816,-1.646
VEN,1980.0,42.82,71.15,1.56,1.46,8.10442849385,-0.013738099207,0.68
VEN,1985.0,53.84,67.65,1.35,1.32,8.03573799782,-0.034351966382,2.204
