code,year,investments_WB,K_over_PIB,GDP_PC_PWT,years_schooling,openness_WB,savings_OECD,gini_market_SWIID,cap_share_income,catch-up,growth,10y_gini_var,10y_schl_var
DEU,1975.0,24.2477564656,229.47,9.61454695121,6.98,0.3602558165,8.87677332303,0.42621257782,19.0,42891.7846958,0.00643282182636,-0.0154426193236,-0.014
DEU,1976.0,25.3785435019,228.68,9.66421848838,6.99,0.384972486719,9.66880310927,0.426110534668,20.0,45540.8268401,0.0484580806705,-0.0128858566283,-0.01
DEU,1977.0,25.0161271818,236.45,9.70049184568,7.0,0.382301505974,9.42361976166,0.429857406616,20.0,45002.5230419,0.035623361944,-0.010509752546,-0.00714285714286
DEU,1978.0,25.3153071481,245.75,9.74202191368,7.01,0.373036255571,9.93883527426,0.413713417053,20.0,43653.6207739,0.0406795099443,-0.0112140321731,-0.005
DEU,1979.0,27.232626002,248.6,9.78111925646,7.02,0.393552100939,9.35476895949,0.434571456909,20.0,45787.3973029,0.0383429057892,-0.00765046861433,-0.00333333333333
DEU,1980.0,27.0109374386,252.68,9.78192371429,7.03,0.419938930471,7.81823532051,0.455305328369,19.0,48851.3640231,0.000804134337459,-0.0048120346069,-0.002
DEU,1981.0,24.4301056221,261.2,9.7498615931,7.06,0.443302124754,6.3039757779,0.40863319397,18.0,51816.9301376,-0.0325816485126,-0.0035250854492,0.0024
DEU,1982.0,22.9854051065,271.43,9.73291560029,7.09,0.445349453242,6.31023599266,0.41978603363,19.0,52184.5918737,-0.0170903906528,-0.0004977684021,0.0068
DEU,1983.0,23.7679525554,277.91,9.74016833281,7.12,0.43720173979,6.6919367333,0.414478912354,20.0,51176.2020205,0.0072264949268,0.0035893745423,0.0112
DEU,1984.0,23.5323373177,281.53,9.74833445291,7.15,0.463959011797,7.14319553249,0.446471176147,22.0,54243.6264688,0.00813286791556,0.0028413238525,0.0156
DEU,1985.0,22.9499460454,287.83,9.75528635629,7.18,0.480736790945,7.87215947735,0.435874938965,22.0,56147.761359,0.00692779480237,0.0009662361145,0.02
DEU,1986.0,22.9699820769,291.83,9.82117943511,7.464,0.430857529999,9.32931979436,0.427803993225,23.0,49816.0120812,0.0637690381357,0.0001693458557,0.0474
DEU,1987.0,22.3822278039,301.07,9.85515761432,7.748,0.418264475859,8.54432317632,0.439536323547,21.0,48093.7180507,0.0334074037829,0.0009678916931,0.0748
DEU,1988.0,23.1086782798,299.91,9.9036345929,8.032,0.426662605609,9.67354778251,0.433742866516,23.0,48655.5094235,0.0473207289114,0.0020029449463,0.1022
DEU,1989.0,24.0756208991,297.66,9.94814004526,8.316,0.453646253286,10.6101246533,0.432962989807,25.0,51319.679725,0.0435296149471,-0.0001608467102,0.1296
DEU,1990.0,24.6506999416,302.42,10.0120468292,8.6,0.460141918466,10.3497165481,0.436089897156,25.0,51419.4591968,0.0619075592692,-0.0019215431213,0.157
DEU,1991.0,25.587985821,286.24,10.0650398242,8.768,0.47974553741,8.14831571375,0.470907936096,23.0,53028.0487288,0.0516133440406,0.0062274742126,0.1708
DEU,1992.0,24.9583559446,289.07,10.1004865777,8.936,0.450500200552,7.72631659649,0.47124168396,22.0,49413.3485697,0.0348258750396,0.005145565033,0.1846
DEU,1993.0,23.6116782477,302.78,10.1011912391,9.104,0.406443052815,6.30762546324,0.466490859985,21.0,44573.939624,0.000704413222357,0.0052011947631,0.1984
DEU,1994.0,23.8327259615,306.81,10.1370169977,9.272,0.420729501882,6.21539193283,0.460652427673,23.0,45766.6928035,0.0351916115285,0.0014181251526,0.2122
DEU,1995.0,23.7411000169,309.67,10.1689248017,9.44,0.435447210988,6.33341759353,0.472394180298,23.0,47011.0359894,0.0314041213971,0.0036519241333,0.226
DEU,1996.0,22.735111508,320.59,10.1774086287,9.564,0.449967295153,5.70990281988,0.460625267029,24.0,48478.6468945,0.00844794085609,0.0032821273804,0.21
DEU,1997.0,22.782892496,330.54,10.2116410121,9.688,0.496010350314,5.83659110666,0.458517227173,25.0,52984.9070735,0.0336530845197,0.0018980903626,0.194
DEU,1998.0,23.3398076532,339.84,10.2506394106,9.812,0.515828721206,6.21291924112,0.46347820282,26.0,54543.5973387,0.0382477505373,0.0029735336304,0.178
DEU,1999.0,23.4738096161,348.95,10.2853510771,9.936,0.533694451978,5.6375188873,0.470014152527,25.0,55899.2284093,0.034116127238,0.003705116272,0.162
DEU,2000.0,23.9232593741,353.9,10.2947538831,10.06,0.613899965981,5.45192961899,0.470348854065,24.0,64130.0348344,0.00935873783718,0.0034258956909,0.146
DEU,2001.0,22.3139665573,355.1,10.3053525889,10.378,0.619777966374,5.20100006881,0.482627563477,24.0,64548.750073,0.0105427374567,0.0011719627381,0.161
DEU,2002.0,19.9192048124,359.87,10.3026829357,10.696,0.607730085231,4.87495982872,0.480717811584,25.0,63342.4183913,-0.00267321993198,0.0009476127624,0.176
DEU,2003.0,19.6873986523,368.3,10.3029391865,11.014,0.615191344456,4.05872761342,0.498438110352,26.0,64115.3892808,0.000256217960031,0.0031947250367,0.191
DEU,2004.0,19.1208128176,369.8,10.3185523612,11.332,0.65856109785,6.60947230272,0.495602302551,29.0,68326.3717315,0.01549192104,0.0034949874878,0.206
DEU,2005.0,18.8145302191,380.93,10.3249026314,11.65,0.704211903375,6.36149092079,0.50268913269,31.0,72926.8052597,0.00633014983034,0.0030294952392,0.221
DEU,2006.0,19.7726104669,373.98,10.3620156568,11.794,0.770821685992,8.71262926982,0.501899414063,33.0,78936.3759175,0.0364327782977,0.0041274147034,0.223
DEU,2007.0,20.749314627,372.5,10.4082658524,11.938,0.793705311492,10.7550045161,0.508005638123,34.0,80091.2255022,0.0451969552218,0.004948841095,0.225
DEU,2008.0,20.8600404413,380.01,10.4236307296,12.082,0.809449046351,9.23868152115,0.513719406128,32.0,81264.6424801,0.0152474397814,0.0050241203308,0.227
DEU,2009.0,18.0674557367,401.03,10.3781223456,12.226,0.706650462549,5.62001073049,0.502769508362,29.0,72001.9128412,-0.0465597789588,0.0032755355835,0.229
DEU,2010.0,19.6253963086,393.82,10.4308428936,12.37,0.79303078223,7.54986318148,0.516424713135,31.0,79423.2015235,0.0513549237489,0.004607585907,0.231
GBR,1975.0,22.7685551915,288.67,9.51923886342,8.25,0.512725526658,4.14394191864,0.371504364014,17.0,61742.9901147,0.0142212648671,0.0024293441774,0.068
GBR,1976.0,24.7856930861,269.55,9.56119785215,8.282,0.558003099266,5.02729411527,0.370421943665,14.0,66869.7118804,0.041090894157,0.00184405008967,0.062
GBR,1977.0,24.1872058668,268.39,9.6088805455,8.314,0.572598322459,5.82984604778,0.376053085327,16.0,68221.5926001,0.0465637292433,0.00238506317143,0.0577142857143
GBR,1978.0,23.5969172143,281.32,9.67612583485,8.346,0.534226308067,5.94159533004,0.395832290649,19.0,63096.2539736,0.0650341639618,0.00455933094025,0.0545
GBR,1979.0,23.7411802618,294.14,9.72907330549,8.378,0.531117119729,5.54062175485,0.409404945374,20.0,62268.9141872,0.0515701684121,0.00556081136078,0.052
GBR,1980.0,20.4086178357,291.15,9.74613228539,8.41,0.498480040889,3.75531787084,0.420521316528,18.0,58298.4208664,0.0169142993722,0.0061163673401,0.05
GBR,1981.0,18.4097168924,292.09,9.7171034847,8.464,0.479802395526,2.68059475489,0.415978546143,16.0,56348.6080334,-0.0294542430399,0.0054252281189,0.0486
GBR,1982.0,19.168647995,296.09,9.71909268994,8.518,0.482005413922,2.86839548321,0.421284408569,16.0,56591.4021559,0.00198722808131,0.0060521736145,0.0472
GBR,1983.0,20.0472577794,301.68,9.73950745265,8.572,0.49370521082,3.38189976612,0.436213912964,19.0,57795.6984621,0.0202077922485,0.0071232872009,0.0458
GBR,1984.0,21.1062077672,311.24,9.74809140563,8.626,0.538399512316,3.59216763475,0.442143936157,22.0,62949.0556356,0.00854721605225,0.006539226532,0.0444
GBR,1985.0,20.9282032572,315.72,9.77265012521,8.68,0.533903094025,3.68103716618,0.469922180176,23.0,62196.0632031,0.0242596078222,0.0098417816162,0.043
GBR,1986.0,20.6946069932,336.92,9.80213695533,8.764,0.491000437229,3.00940572413,0.494699516296,24.0,56940.3648328,0.0290563352312,0.0124277572631,0.0482
GBR,1987.0,21.5924917921,349.99,9.85065061913,8.848,0.484865016832,3.33588945738,0.490755386353,23.0,55793.2638677,0.0473556775279,0.0114702301026,0.0534
GBR,1988.0,24.1769913675,370.04,9.90906502503,8.932,0.460340679265,3.32310463491,0.493647880554,24.0,52445.9302332,0.0567410256516,0.0097815589905,0.0586
GBR,1989.0,24.7862540599,396.19,9.93688099797,9.016,0.473151758303,3.35451999785,0.496946182251,24.0,53637.0659392,0.027432670958,0.0087541236877,0.0638
GBR,1990.0,22.0317832518,389.19,9.94853231007,9.1,0.468921021549,2.48787900204,0.506881446838,23.0,53043.8222119,0.0115836984185,0.008636013031,0.069
GBR,1991.0,18.7944012957,378.95,9.93683451511,9.168,0.440344540763,1.65229522718,0.506149902344,21.0,49918.4226221,-0.011766481731,0.0090171356201,0.0704
GBR,1992.0,18.0653918652,373.0,9.9411040755,9.236,0.449982071053,1.16499095151,0.518399009705,19.0,50971.1417993,0.00426045877058,0.0097114601136,0.0718
GBR,1993.0,17.6286645124,381.28,9.9664924373,9.304,0.483414386761,1.2771079965,0.52333316803,20.0,54500.010256,0.025068787549,0.0087119255066,0.0732
GBR,1994.0,18.5884519375,377.16,10.0082964828,9.372,0.504173145723,2.74429580436,0.531714706421,23.0,56381.8888435,0.040942306214,0.0089570770264,0.0746
GBR,1995.0,20.1079257322,371.78,10.0335800911,9.44,0.539131366171,3.22530467252,0.534817695618,26.0,59984.6729601,0.024966654661,0.0064895515442,0.076
GBR,1996.0,20.3150988341,377.99,10.0812786498,9.536,0.552288615726,3.30592107368,0.542308349609,26.0,60833.9623828,0.0465788557103,0.0047608833313,0.0772
GBR,1997.0,19.6239224528,426.97,10.1680463539,9.632,0.537336104169,4.2806383594,0.536446418762,28.0,58023.3021166,0.0831099393747,0.0045691032409,0.0784
GBR,1998.0,20.1876300368,467.42,10.2195270998,9.728,0.513096068001,5.00245075674,0.533620758057,29.0,54699.4717365,0.0501780621723,0.0039972877503,0.0796
GBR,1999.0,19.5707017205,512.7,10.267130487,9.824,0.517547404398,3.18878355152,0.527684516907,29.0,54481.7843573,0.0464881129746,0.0030738334656,0.0808
GBR,2000.0,19.887345655,520.27,10.3145979922,9.92,0.544812606076,3.9800772309,0.529690132141,26.0,56589.9783713,0.0463585389816,0.0022808685303,0.082
GBR,2001.0,19.4239277839,518.4,10.3444443276,10.156,0.545483257561,3.34548869327,0.517378883362,25.0,56161.0504084,0.0294053318253,0.0011228981018,0.0988
GBR,2002.0,19.2570114007,506.17,10.3535660618,10.392,0.52874092271,2.84755505246,0.513163909912,25.0,54286.7136943,0.0090802574177,-0.0005235099793,0.1156
GBR,2003.0,18.7629978246,506.93,10.3589747017,10.628,0.517965251747,2.66548357579,0.527744140625,27.0,53092.2404369,0.00539403949718,0.0004410972595,0.1324
GBR,2004.0,18.3242544261,518.41,10.393738901,10.864,0.516163163778,2.15885976255,0.523680877686,28.0,52331.6388374,0.0341668665184,-0.0008033828735,0.1492
GBR,2005.0,18.438265267,523.58,10.3916453869,11.1,0.540448189967,3.09338869438,0.531203231812,29.0,54830.7046157,-0.0020957070491,-0.0003614463806,0.166
GBR,2006.0,18.7804097766,536.62,10.416553746,11.328,0.579908575166,2.14343603816,0.527703514099,29.0,58357.5185917,0.0246007056138,-0.001460483551,0.1792
GBR,2007.0,19.1786820888,540.66,10.4329015441,11.556,0.53963590256,2.42145481323,0.530505599976,29.0,54007.6442008,0.0162148980009,-0.0005940818786,0.1924
GBR,2008.0,18.0253053935,521.29,10.4024865927,11.784,0.584414157175,0.883194689118,0.53903678894,30.0,59083.652281,-0.0308822112395,0.0005416030883,0.2056
GBR,2009.0,15.2899556917,528.48,10.3475792556,12.012,0.559954150392,-1.65925503138,0.545839424133,30.0,57596.2722367,-0.0564427171004,0.0018154907226,0.2188
GBR,2010.0,16.364650914,529.42,10.389091202,12.24,0.599010123763,0.169457965939,0.545584487915,27.0,60821.8478231,0.0406621254196,0.0015894355774,0.232
FRA,1983.0,21.6736415774,314.71,9.8613913281,6.53,0.448323876866,4.40078061812,0.472737121582,16.0,51496.6442373,-0.0155849507416,0.0048020706176,0.13
FRA,1984.0,21.1509086195,315.6,9.84261659906,6.72,0.472148163597,4.35568056276,0.494560470581,18.0,54401.6118431,-0.0189520824486,0.00763895034783,0.14
FRA,1985.0,21.0900857189,313.94,9.831414218,6.91,0.466800524386,4.31908103652,0.481809005737,20.0,53883.3089755,-0.0112653626902,0.00472603389186,0.147142857143
FRA,1986.0,21.6702492132,317.64,9.87364633279,7.058,0.405758240468,5.80372535929,0.475322647095,23.0,46511.4113945,0.0413527614578,0.00332448482512,0.14725
FRA,1987.0,22.1634119422,324.98,9.89545925074,7.206,0.399735062984,5.40911136775,0.472427330017,24.0,45649.8640638,0.0215767366311,0.00263339572478,0.147333333333
FRA,1988.0,23.2364725578,325.07,9.94629099525,7.354,0.410756323135,6.84161713885,0.466306877136,26.0,46483.5359668,0.0495614264156,0.0017580108642,0.1474
FRA,1989.0,24.1526823616,337.77,9.98438626415,7.502,0.436753478651,7.76996038515,0.474180793762,27.0,49071.5049199,0.0373787713474,0.0026437110901,0.1582
FRA,1990.0,24.292503403,343.02,10.0095265737,7.65,0.424252357062,7.66256670196,0.432873458862,26.0,47432.7165751,0.0248269236659,-0.000502784729,0.169
FRA,1991.0,23.485842831,341.69,10.0142316402,7.884,0.42666929174,6.47135388183,0.446310081482,26.0,47658.1905549,0.00469401504664,0.0047729682922,0.1734
FRA,1992.0,21.8468545733,337.0,10.0266284642,8.118,0.416571886482,6.10243648848,0.449964332581,26.0,46414.231687,0.0123202999036,-0.0008026504516,0.1778
FRA,1993.0,19.4364526769,342.4,10.0149383877,8.352,0.395715270933,4.62102187035,0.457273674011,26.0,44194.4315813,-0.0117586724973,-0.0015463447571,0.1822
FRA,1994.0,20.2064323616,339.18,10.0377422591,8.586,0.414751189578,5.14226468692,0.481283950806,26.0,46106.5189626,0.0225458282991,-0.0013276519775,0.1866
FRA,1995.0,20.4010393749,333.35,10.057140782,8.82,0.432720228382,5.73419528853,0.473497123718,26.0,47910.1984798,0.0192115823328,-0.0008311882019,0.191
FRA,1996.0,19.5180904722,336.34,10.0676797855,9.006,0.439365344136,5.4811549307,0.503996505737,26.0,48537.3750141,0.0104836627486,0.0028673858642,0.1948
FRA,1997.0,19.3478075214,340.14,10.1211458705,9.192,0.475813220962,6.87738076645,0.495558929443,27.0,51947.9228701,0.0520619101809,0.0023131599426,0.1986
FRA,1998.0,20.5757976296,341.65,10.1838736988,9.378,0.490057227976,8.14196011705,0.491898765564,28.0,52714.2602754,0.0608009377044,0.0025591888428,0.2024
FRA,1999.0,21.255270179,359.05,10.221589296,9.564,0.492330056478,8.91447627718,0.479515647888,28.0,52457.7944047,0.0370132219657,0.0005334854126,0.2062
FRA,2000.0,22.3863413728,375.67,10.2695910545,9.75,0.552593645876,8.53691132382,0.482974815369,28.0,58131.9048121,0.0468678889531,0.0050101356507,0.21
FRA,2001.0,22.0726142006,384.54,10.2996457122,9.824,0.54316667627,8.11023229526,0.477505302429,27.0,56662.2187661,0.0296075073986,0.0031195220947,0.194
FRA,2002.0,21.2296120016,399.39,10.3095669138,9.898,0.524155109051,6.76182477251,0.46113910675,25.0,54523.6330869,0.00987214875572,0.0011174774169,0.178
FRA,2003.0,21.098508768,423.59,10.2553492156,9.972,0.501319744625,6.10331505681,0.481265296936,26.0,52942.4431147,-0.0557144042371,0.0023991622925,0.162
FRA,2004.0,21.8033505576,456.79,10.2702088099,10.046,0.511967780402,6.44660852487,0.475430831909,26.0,53849.0086348,0.0147497354074,-0.0005853118897,0.146
FRA,2005.0,22.3756728357,499.89,10.2811559142,10.12,0.531520143027,5.8787975923,0.476528587341,26.0,55736.6882251,0.0108874027784,0.0003031463623,0.13
FRA,2006.0,23.1735632265,533.82,10.3061551599,10.232,0.551872450111,6.13446416517,0.475895271301,26.0,57463.2687584,0.0246893523014,-0.0028101234436,0.1226
FRA,2007.0,24.1112830028,553.46,10.3554256652,10.344,0.555477033618,6.50135942889,0.472093544006,27.0,56999.3218752,0.0480764054451,-0.0023465385437,0.1152
FRA,2008.0,24.0879324599,552.55,10.3578373954,10.456,0.565238369617,5.56825412731,0.461116943359,26.0,57958.0714115,0.0024088243124,-0.0030781822205,0.1078
FRA,2009.0,21.3046095006,562.61,10.3295018902,10.568,0.495678480385,1.85753915515,0.461809806824,26.0,51261.8401972,-0.0287407743446,-0.0017705841064,0.1004
FRA,2010.0,21.911241588,574.56,10.3541527148,10.68,0.539684390294,2.44075375248,0.468216400146,27.0,55400.3633102,0.024349474265,-0.0014758415223,0.093
AUS,1975.0,26.8859100052,349.85,9.78563437446,10.52,0.290745924353,11.523752255,0.324507789612,17.0,33803.2393188,-0.0104658237493,-0.0041317825318,0.164
AUS,1976.0,26.5015033073,346.31,9.81357216903,10.656,0.269585087192,10.6498025692,0.324285545349,17.0,31207.2252848,0.0275511434832,-0.00348019282033,0.159333333333
AUS,1977.0,27.0370794828,342.35,9.80918714631,10.792,0.287290457685,8.21375415029,0.36162563324,18.0,33279.7811117,-0.00439465100077,0.00235127585271,0.156
AUS,1978.0,25.8825325344,349.14,9.84934975457,10.928,0.282763424035,10.2072167124,0.370506248474,18.0,32544.4712007,0.0393667804417,0.00316744327538,0.1535
AUS,1979.0,27.9198143068,337.7,9.87352790045,11.064,0.297345431526,11.1461862041,0.412847900391,20.0,34084.9098609,0.0238881960311,0.00752013312444,0.151555555556
AUS,1980.0,27.1518445445,338.37,9.89475926999,11.2,0.324141011801,11.0257557023,0.377460327148,21.0,37021.5007387,0.0210075706565,0.0032293624877,0.15
AUS,1981.0,28.7379228245,346.62,9.92967686106,11.2,0.317094506159,9.50508814513,0.404560623169,21.0,35993.2932019,0.0343150059626,0.0061075820923,0.1336
AUS,1982.0,29.9015418276,348.07,9.89026364746,11.2,0.304246008683,5.88253966574,0.389164009094,20.0,34776.2661302,-0.0402002197377,0.0051880302429,0.1172
AUS,1983.0,25.3580365787,352.49,9.93312964019,11.2,0.292751445637,8.26844920287,0.417238731384,20.0,33209.3319708,0.041960234242,0.008899482727,0.1008
AUS,1984.0,26.6813232144,346.78,9.9585342718,11.2,0.286252689508,9.24462759255,0.447441482544,23.0,32320.3838698,0.0250846493544,0.0170796508789,0.0844
AUS,1985.0,28.0804073153,351.35,9.97176072079,11.2,0.326077887137,7.09181967383,0.443039550781,22.0,36725.246548,0.0131393638858,0.0118531761169,0.068
AUS,1986.0,28.5611057301,351.39,9.97564859508,11.196,0.331346186369,5.89711373905,0.450971946716,22.0,37290.9616433,0.0038803262873,0.0126686401367,0.054
AUS,1987.0,27.4224538293,352.18,10.0355222863,11.192,0.326185634841,8.45379022602,0.436427497864,23.0,36277.523951,0.0581165057596,0.0074801864624,0.04
AUS,1988.0,28.023046253,360.38,10.0915952888,11.188,0.326548246534,9.44990646887,0.437139167786,25.0,35888.0133956,0.0545298883036,0.0066632919312,0.026
AUS,1989.0,29.6583394962,389.13,10.1178513393,11.184,0.321548592683,8.20072954767,0.437687606812,25.0,35132.0487581,0.0259143574473,0.0024839706421,0.012
AUS,1990.0,28.9943229907,403.87,10.0938609734,11.18,0.322639240162,4.24574810458,0.45814781189,23.0,35440.7434908,-0.0242804498335,0.0080687484742,-0.002
AUS,1991.0,24.2594891699,418.1,10.0840677266,11.184,0.322939141545,1.50404206873,0.423639602661,21.0,35549.8296829,-0.00984135750681,0.0019078979492,-0.0016
AUS,1992.0,22.3740740128,427.27,10.1121546543,11.188,0.331414168403,3.39415589827,0.413377838135,23.0,36256.6042667,0.0276961570237,0.0024213829041,-0.0012
AUS,1993.0,23.6258018596,419.32,10.1432988379,11.192,0.354759802508,4.80995079466,0.384175643921,25.0,38534.0776005,0.0306641992946,-0.0033063087463,-0.0008
AUS,1994.0,24.2814740203,421.3,10.1870938789,11.196,0.364769670928,3.96929497088,0.420453147888,25.0,39206.237737,0.0428498861198,-0.0026988334656,-0.0004
AUS,1995.0,25.9681084201,422.97,10.2272040562,11.2,0.377309031912,4.78032365396,0.473032417297,25.0,40143.8959122,0.0393164122022,0.0029992866516,0.0
AUS,1996.0,24.8088702359,409.79,10.2611934417,11.174,0.382183908046,6.13773934417,0.457067337036,24.0,40297.2715033,0.033418235605,0.000609539032,-0.0022
AUS,1997.0,24.8274709697,417.15,10.2983059168,11.148,0.379504575321,5.64654081426,0.453721809387,24.0,39604.3706125,0.0364322480844,0.0017294311523,-0.0044
AUS,1998.0,25.4965779313,427.42,10.3307853367,11.122,0.399722089628,4.72637337302,0.472606811523,24.0,41322.5477544,0.0319576280158,0.0035467643737,-0.0066
AUS,1999.0,26.1294363661,435.12,10.3697591952,11.096,0.390063249404,5.47456744682,0.472004814148,24.0,39848.6968196,0.0382241488858,0.0034317207336,-0.0088
AUS,2000.0,26.3076485331,443.46,10.3738275743,11.07,0.409045779807,4.65471107639,0.499859848022,25.0,41734.7815023,0.00406011444389,0.0041712036132,-0.011
AUS,2001.0,23.4502375851,457.37,10.39994906,11.132,0.441179431696,5.72984969232,0.489652481079,24.0,44639.6046743,0.0257832710005,0.0066012878418,-0.0052
AUS,2002.0,24.426988484,470.46,10.420261893,11.194,0.413267798266,5.12763512838,0.479517440796,25.0,41536.7867382,0.0201079171949,0.0066139602661,0.0006
AUS,2003.0,25.9536417224,486.73,10.4504577143,11.256,0.399679038865,5.82879672877,0.475930976868,25.0,39760.1454755,0.0297444817804,0.0091755332947,0.0064
AUS,2004.0,27.0888988735,505.64,10.4688789432,11.318,0.367277468371,5.08748504494,0.468487472534,26.0,36300.8402839,0.0182525951324,0.0048034324646,0.0122
AUS,2005.0,27.4526563325,540.68,10.4867167431,11.38,0.388650319059,6.00029673174,0.459893760681,24.0,38167.0440825,0.0176796480939,-0.0013138656616,0.018
AUS,2006.0,27.6834674307,560.65,10.5025425951,11.412,0.410172485349,5.83221509865,0.476543655396,25.0,40046.1327219,0.015701281206,0.001947631836,0.0238
AUS,2007.0,27.8689852319,580.91,10.5157170711,11.444,0.41402570007,6.59574630648,0.471504135132,24.0,40222.4276771,0.0130880724953,0.0017782325745,0.0296
AUS,2008.0,29.1473851407,565.49,10.506420554,11.476,0.421182385196,8.5602312034,0.51214717865,25.0,41061.4743116,-0.00933986396425,0.0039540367127,0.0354
AUS,2009.0,27.9243900675,517.25,10.5029239474,11.508,0.449469549664,6.42722029739,0.482585258484,28.0,43876.5585032,-0.00350272687765,0.0010580444336,0.0412
AUS,2010.0,27.5680773475,530.94,10.5441583577,11.54,0.398603636498,8.4591022099,0.46530921936,27.0,38299.9528437,0.0403958375645,-0.0034550628662,0.047
ITA,1975.0,23.4970581355,315.71,9.46105661899,6.16,0.375016002827,9.36912403702,0.514052581787,24.0,45448.5352974,-0.0136365698825,-0.005481010437,0.106
ITA,1976.0,26.2841921004,299.25,9.54200545897,6.27,0.413035006348,11.2038827173,0.475938110352,25.0,49608.6083229,0.0777591278951,-0.0109199206033,0.106666666667
ITA,1977.0,24.153789153,295.08,9.5905784249,6.38,0.41922679351,11.180773827,0.481975097656,24.0,50061.5690028,0.0474121696943,-0.008497505188,0.107142857143
